sofifa_id,21,22,23,24,25,26,27,cluster,short_name,max_overall,max_overall-potential_%
225508.0,73.0,82.0,84.0,82.0,80.0,79.0,79.0,0,E. Bailly,84.0,90.0
211575.0,80.0,84.0,82.0,80.0,80.0,79.0,77.0,0,André Gomes,84.0,90.0
212404.0,71.0,78.0,82.0,82.0,83.0,80.0,79.0,0,F. Bernardeschi,83.0,88.0
205693.0,75.0,77.0,77.0,78.0,83.0,81.0,80.0,0,S. Haller,83.0,85.0
208596.0,71.0,77.0,83.0,82.0,82.0,80.0,81.0,0,A. Belotti,83.0,90.0
206652.0,74.0,80.0,82.0,80.0,77.0,77.0,77.0,0,Sergio Rico,82.0,87.0
211748.0,70.0,73.0,80.0,80.0,82.0,80.0,79.0,0,K. Demirbay,82.0,85.0
202335.0,74.0,78.0,82.0,80.0,79.0,78.0,79.0,0,E. Dier,82.0,87.0
202477.0,78.0,81.0,82.0,81.0,80.0,80.0,79.0,0,Deulofeu,82.0,89.0
210864.0,75.0,79.0,79.0,81.0,80.0,78.0,77.0,0,E. Hysaj,81.0,85.0
210455.0,76.0,77.0,77.0,79.0,79.0,81.0,80.0,0,Jonny,81.0,84.0
210406.0,71.0,76.0,80.0,80.0,81.0,80.0,81.0,0,P. Zieliński,81.0,87.0
207791.0,70.0,73.0,76.0,77.0,81.0,78.0,77.0,0,Y. Poulsen,81.0,83.0
207439.0,71.0,76.0,77.0,80.0,80.0,79.0,81.0,0,L. Paredes,81.0,85.0
207807.0,70.0,72.0,73.0,75.0,81.0,79.0,75.0,0,R. Fraser,81.0,83.0
206511.0,77.0,79.0,79.0,78.0,79.0,79.0,81.0,0,M. Arnold,81.0,84.0
204529.0,78.0,81.0,80.0,81.0,79.0,78.0,76.0,0,M. Batshuayi,81.0,86.0
199189.0,79.0,81.0,81.0,79.0,79.0,78.0,78.0,0,R. Barkley,81.0,89.0
198784.0,79.0,79.0,80.0,80.0,80.0,79.0,79.0,0,A. Oxlade-Chamberlain,80.0,86.0
223061.0,74.0,75.0,78.0,80.0,76.0,78.0,75.0,0,F. Cervi,80.0,85.0
216271.0,71.0,72.0,74.0,68.0,67.0,66.0,68.0,1,J. van Aken,74.0,79.0
214949.0,62.0,63.0,72.0,73.0,69.0,68.0,67.0,1,H. Manzala,73.0,80.0
202113.0,68.0,72.0,72.0,71.0,69.0,69.0,69.0,1,M. Odubajo,72.0,79.0
204701.0,65.0,72.0,70.0,70.0,68.0,67.0,65.0,1,S. Khelifi,72.0,78.0
219680.0,69.0,69.0,69.0,68.0,67.0,67.0,72.0,1,C. Hountondji,72.0,76.0
213007.0,70.0,70.0,72.0,69.0,70.0,69.0,67.0,1,A. Aseri,72.0,80.0
205089.0,71.0,72.0,68.0,69.0,69.0,68.0,69.0,1,M. Valoti,72.0,80.0
210237.0,66.0,67.0,71.0,72.0,71.0,70.0,68.0,1,T. Pledl,72.0,78.0
212249.0,68.0,70.0,71.0,70.0,71.0,67.0,70.0,1,S. Kerk,71.0,77.0
215067.0,62.0,67.0,71.0,71.0,69.0,67.0,69.0,1,D. Rosero,71.0,79.0
219546.0,66.0,66.0,67.0,66.0,69.0,69.0,71.0,1,J. Murillo,71.0,74.0
215178.0,66.0,68.0,69.0,69.0,71.0,70.0,68.0,1,E. Godoy,71.0,76.0
209417.0,65.0,68.0,66.0,69.0,70.0,69.0,68.0,1,R. Murawski,70.0,76.0
215495.0,68.0,70.0,70.0,64.0,65.0,65.0,65.0,1,B. Ndoye,70.0,80.0
212120.0,68.0,70.0,70.0,68.0,66.0,66.0,68.0,1,M. Heylen,70.0,76.0
214991.0,64.0,68.0,69.0,69.0,70.0,69.0,67.0,1,J. Pi,70.0,75.0
205386.0,61.0,70.0,70.0,68.0,66.0,67.0,69.0,1,G. Hubert,70.0,78.0
211195.0,66.0,70.0,69.0,66.0,66.0,67.0,67.0,1,L. Woudenberg,70.0,75.0
214000.0,66.0,65.0,68.0,70.0,70.0,70.0,68.0,1,Y. Reyna,70.0,77.0
223794.0,68.0,69.0,70.0,69.0,70.0,69.0,66.0,1,P. Schobesberger,70.0,76.0
204935.0,65.0,73.0,77.0,83.0,83.0,81.0,83.0,2,J. Pickford,83.0,86.0
216409.0,67.0,74.0,77.0,80.0,82.0,81.0,81.0,2,M. Politano,82.0,83.0
220018.0,67.0,70.0,72.0,79.0,80.0,79.0,82.0,2,A. Rebić,82.0,83.0
214979.0,59.0,62.0,69.0,74.0,78.0,80.0,81.0,2,J. Musso,81.0,83.0
210385.0,64.0,68.0,70.0,69.0,71.0,79.0,81.0,2,Rui Silva,81.0,84.0
205659.0,68.0,69.0,72.0,75.0,81.0,81.0,81.0,2,A. Cragno,81.0,87.0
211990.0,64.0,65.0,70.0,74.0,80.0,81.0,81.0,2,O. Vlachodimos,81.0,86.0
220093.0,67.0,71.0,71.0,75.0,78.0,78.0,81.0,2,H. Hateboer,81.0,81.0
212187.0,69.0,72.0,74.0,78.0,77.0,79.0,80.0,2,P. Max,80.0,81.0
209519.0,65.0,66.0,73.0,75.0,78.0,76.0,80.0,2,G. Laborde,80.0,83.0
208141.0,68.0,76.0,75.0,76.0,80.0,79.0,76.0,2,Gabriel,80.0,82.0
220477.0,64.0,69.0,76.0,80.0,80.0,78.0,76.0,2,M. Caldara,80.0,86.0
212382.0,64.0,64.0,68.0,70.0,71.0,72.0,79.0,2,P. Onuachu,79.0,80.0
213160.0,66.0,69.0,77.0,79.0,79.0,78.0,78.0,2,R. Zobnin,79.0,86.0
214097.0,65.0,67.0,70.0,77.0,77.0,78.0,78.0,2,B. Bourigeaud,78.0,81.0
219581.0,64.0,66.0,73.0,76.0,76.0,78.0,78.0,2,S. Gigot,78.0,82.0
219145.0,61.0,73.0,74.0,73.0,78.0,75.0,77.0,2,G. Maripán,78.0,82.0
222994.0,67.0,72.0,73.0,78.0,76.0,75.0,75.0,2,M. Nakamba,78.0,83.0
225341.0,65.0,74.0,75.0,70.0,69.0,76.0,78.0,2,David García,78.0,82.0
